2026-04-27 09:22:03:223 info: server is running on port 5000
2026-04-27 09:22:30:2230 http: OPTIONS /api/auth/refresh 204 0 - 1.912 ms
2026-04-27 09:22:30:2230 http: OPTIONS /api/auth/refresh 204 0 - 0.436 ms
2026-04-27 09:22:30:2230 http: POST /api/auth/refresh 200 470 - 159.981 ms
2026-04-27 09:22:30:2230 http: POST /api/auth/refresh 200 470 - 27.268 ms
2026-04-27 09:22:33:2233 http: OPTIONS /api/auth/logout 204 0 - 0.283 ms
2026-04-27 09:22:33:2233 http: POST /api/auth/logout 200 39 - 149.791 ms
2026-04-27 09:22:56:2256 http: OPTIONS /api/auth/login 204 0 - 0.273 ms
2026-04-27 09:22:56:2256 http: POST /api/auth/login 200 1202 - 161.461 ms
2026-04-27 09:23:04:234 http: OPTIONS /api/projects?page=1&limit=8&search= 204 0 - 0.231 ms
2026-04-27 09:23:04:234 http: OPTIONS /api/projects?page=1&limit=8&search= 204 0 - 0.138 ms
2026-04-27 09:23:04:234 http: GET /api/projects?page=1&limit=8&search= 200 931 - 58.522 ms
2026-04-27 09:23:04:234 http: GET /api/projects?page=1&limit=8&search= 304 - - 42.278 ms
2026-04-27 09:23:22:2322 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.148 ms
2026-04-27 09:23:22:2322 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.071 ms
2026-04-27 09:23:22:2322 http: GET /api/projects?page=1&limit=10&search= 200 932 - 28.851 ms
2026-04-27 09:23:22:2322 http: GET /api/projects?page=1&limit=10&search= 304 - - 41.404 ms
2026-04-27 09:23:45:2345 http: OPTIONS /api/auth/refresh 204 0 - 0.394 ms
2026-04-27 09:23:45:2345 http: OPTIONS /api/auth/refresh 204 0 - 0.663 ms
2026-04-27 09:23:45:2345 http: POST /api/auth/refresh 200 999 - 78.750 ms
2026-04-27 09:23:45:2345 http: POST /api/auth/refresh 200 999 - 153.920 ms
2026-04-27 09:23:54:2354 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.207 ms
2026-04-27 09:23:54:2354 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.114 ms
2026-04-27 09:23:54:2354 http: GET /api/projects?page=1&limit=10&search= 200 932 - 31.309 ms
2026-04-27 09:23:54:2354 http: GET /api/projects?page=1&limit=10&search= 304 - - 47.616 ms
2026-04-27 09:24:04:244 http: OPTIONS /api/user-stories/project/69eb5440407b185bf6a3e56c 204 0 - 0.174 ms
2026-04-27 09:24:04:244 http: GET /api/user-stories/project/69eb5440407b185bf6a3e56c 200 1752 - 18.538 ms
2026-04-27 09:24:10:2410 http: OPTIONS /api/projects?page=1&limit=8&search= 204 0 - 0.195 ms
2026-04-27 09:24:10:2410 http: OPTIONS /api/projects?page=1&limit=8&search= 204 0 - 0.103 ms
2026-04-27 09:24:10:2410 http: GET /api/projects?page=1&limit=8&search= 200 931 - 34.674 ms
2026-04-27 09:24:11:2411 http: GET /api/projects?page=1&limit=8&search= 304 - - 38.749 ms
2026-04-27 09:24:12:2412 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.496 ms
2026-04-27 09:24:12:2412 http: GET /api/projects?page=1&limit=10&search= 304 - - 23.359 ms
2026-04-27 09:24:12:2412 http: GET /api/projects?page=1&limit=10&search= 304 - - 40.930 ms
2026-04-27 09:24:26:2426 http: OPTIONS /api/user-stories/project/69eb5440407b185bf6a3e56c 204 0 - 0.125 ms
2026-04-27 09:24:27:2427 http: GET /api/user-stories/project/69eb5440407b185bf6a3e56c 304 - - 10.151 ms
2026-04-27 09:24:32:2432 http: OPTIONS /api/user-stories/project/69eb541b407b185bf6a3e558 204 0 - 0.136 ms
2026-04-27 09:24:32:2432 http: GET /api/user-stories/project/69eb541b407b185bf6a3e558 200 2202 - 20.563 ms
2026-04-27 09:25:04:254 http: OPTIONS /api/sprints 204 0 - 0.165 ms
2026-04-27 09:25:04:254 http: OPTIONS /api/sprints 204 0 - 0.095 ms
2026-04-27 09:25:04:254 http: GET /api/sprints 304 - - 57.721 ms
2026-04-27 09:25:04:254 http: GET /api/sprints 304 - - 42.351 ms
2026-04-27 09:28:18:2818 http: OPTIONS /api/sprints/69ec8e25ca3e778bcb899692 204 0 - 0.111 ms
2026-04-27 09:28:18:2818 http: OPTIONS /api/sprints/69ec8e25ca3e778bcb899692 204 0 - 0.187 ms
2026-04-27 09:28:18:2818 http: GET /api/sprints/69ec8e25ca3e778bcb899692 304 - - 26.271 ms
2026-04-27 09:28:18:2818 http: OPTIONS /api/user-stories/sprint/69ec8e25ca3e778bcb899692 204 0 - 0.060 ms
2026-04-27 09:28:18:2818 http: GET /api/sprints/69ec8e25ca3e778bcb899692 304 - - 38.279 ms
2026-04-27 09:28:18:2818 http: GET /api/user-stories/sprint/69ec8e25ca3e778bcb899692 200 2202 - 39.222 ms
2026-04-27 09:28:18:2818 http: OPTIONS /api/teams/directory?search= 204 0 - 0.104 ms
2026-04-27 09:28:18:2818 http: GET /api/user-stories/sprint/69ec8e25ca3e778bcb899692 304 - - 38.721 ms
2026-04-27 09:28:18:2818 http: GET /api/teams/directory?search= 304 - - 32.370 ms
2026-04-27 09:28:18:2818 http: GET /api/teams/directory?search= 304 - - 13.033 ms
2026-04-27 09:28:25:2825 http: OPTIONS /api/tasks/story/69ec8da9ca3e778bcb899659 204 0 - 0.155 ms
2026-04-27 09:28:25:2825 http: GET /api/tasks/story/69ec8da9ca3e778bcb899659 200 1059 - 47.324 ms
2026-04-27 09:28:28:2828 http: OPTIONS /api/tasks/story/69ec8dd3ca3e778bcb899663 204 0 - 0.113 ms
2026-04-27 09:28:28:2828 http: GET /api/tasks/story/69ec8dd3ca3e778bcb899663 200 26 - 8.583 ms
2026-04-27 09:29:02:292 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.088 ms
2026-04-27 09:29:02:292 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.060 ms
2026-04-27 09:29:02:292 http: GET /api/projects?page=1&limit=10&search= 304 - - 25.430 ms
2026-04-27 09:29:02:292 http: GET /api/projects?page=1&limit=10&search= 304 - - 46.582 ms
2026-04-27 09:29:23:2923 http: OPTIONS /api/user-stories/project/69eb5440407b185bf6a3e56c 204 0 - 0.107 ms
2026-04-27 09:29:23:2923 http: GET /api/user-stories/project/69eb5440407b185bf6a3e56c 304 - - 15.078 ms
2026-04-27 09:30:35:3035 http: OPTIONS /api/projects?page=1&limit=8&search= 204 0 - 0.120 ms
2026-04-27 09:30:35:3035 http: OPTIONS /api/projects?page=1&limit=8&search= 204 0 - 0.067 ms
2026-04-27 09:30:35:3035 http: GET /api/projects?page=1&limit=8&search= 304 - - 27.662 ms
2026-04-27 09:30:35:3035 http: GET /api/projects?page=1&limit=8&search= 304 - - 27.996 ms
2026-04-27 09:30:37:3037 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.098 ms
2026-04-27 09:30:37:3037 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.085 ms
