2026-04-30 08:34:32:3432 info: server is running on port 5000
2026-04-30 11:40:28:4028 http: OPTIONS /api/auth/refresh 204 0 - 24.853 ms
2026-04-30 11:40:28:4028 http: OPTIONS /api/auth/refresh 204 0 - 0.354 ms
2026-04-30 11:42:30:4230 info: server is running on port 5000
2026-04-30 11:44:28:4428 http: OPTIONS /api/auth/login 204 0 - 3.831 ms
2026-04-30 11:44:29:4429 http: POST /api/auth/login 200 1665 - 205.508 ms
2026-04-30 11:45:30:4530 http: OPTIONS /api/auth/login 204 0 - 0.142 ms
2026-04-30 11:45:30:4530 http: POST /api/auth/login 200 1665 - 92.803 ms
2026-04-30 11:45:37:4537 http: OPTIONS /api/projects?page=1&limit=8&search= 204 0 - 0.153 ms
2026-04-30 11:45:37:4537 http: OPTIONS /api/projects?page=1&limit=8&search= 204 0 - 0.199 ms
2026-04-30 11:45:37:4537 http: GET /api/projects?page=1&limit=8&search= 200 842 - 37.080 ms
2026-04-30 11:45:37:4537 http: GET /api/projects?page=1&limit=8&search= 304 - - 18.324 ms
2026-04-30 11:46:23:4623 http: OPTIONS /api/projects 204 0 - 0.449 ms
2026-04-30 11:46:24:4624 http: POST /api/projects 201 390 - 67.222 ms
2026-04-30 11:46:25:4625 http: OPTIONS /api/projects?page=1&limit=8&search= 204 0 - 0.993 ms
2026-04-30 11:46:25:4625 http: OPTIONS /api/projects?page=1&limit=8&search= 204 0 - 0.145 ms
2026-04-30 11:46:26:4626 http: GET /api/projects?page=1&limit=8&search= 200 1232 - 19.580 ms
2026-04-30 11:46:26:4626 http: GET /api/projects?page=1&limit=8&search= 304 - - 18.425 ms
2026-04-30 11:46:31:4631 http: OPTIONS /api/teams/directory?search= 204 0 - 0.137 ms
2026-04-30 11:46:31:4631 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.257 ms
2026-04-30 11:46:31:4631 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.214 ms
2026-04-30 11:46:31:4631 http: GET /api/projects?page=1&limit=10&search= 200 1233 - 44.336 ms
2026-04-30 11:46:31:4631 http: OPTIONS /api/teams/directory?search= 204 0 - 0.078 ms
2026-04-30 11:46:31:4631 http: GET /api/projects?page=1&limit=10&search= 304 - - 15.512 ms
2026-04-30 11:46:31:4631 http: GET /api/teams/directory?search= 200 848 - 39.841 ms
2026-04-30 11:46:31:4631 http: GET /api/teams/directory?search= 304 - - 28.076 ms
2026-04-30 11:46:33:4633 http: OPTIONS /api/issues/project/69f2f3b8c8838af586b75723 204 0 - 0.148 ms
2026-04-30 11:46:33:4633 http: GET /api/issues/project/69f2f3b8c8838af586b75723 200 26 - 16.901 ms
2026-04-30 11:46:50:4650 http: OPTIONS /api/issues 204 0 - 0.061 ms
2026-04-30 11:46:51:4651 http: POST /api/issues 201 643 - 14.296 ms
2026-04-30 11:46:51:4651 http: OPTIONS /api/issues/project/69f2f3b8c8838af586b75723 204 0 - 0.120 ms
2026-04-30 11:46:51:4651 http: GET /api/issues/project/69f2f3b8c8838af586b75723 200 619 - 9.592 ms
2026-04-30 11:47:02:472 http: OPTIONS /api/issues/project/69f18705329da4ed79cc27fe 204 0 - 0.334 ms
2026-04-30 11:47:02:472 http: GET /api/issues/project/69f18705329da4ed79cc27fe 200 3360 - 29.757 ms
2026-04-30 11:47:06:476 http: OPTIONS /api/sprints 204 0 - 0.103 ms
2026-04-30 11:47:06:476 http: OPTIONS /api/sprints 204 0 - 0.119 ms
2026-04-30 11:47:06:476 http: GET /api/sprints 200 948 - 50.386 ms
2026-04-30 11:47:06:476 http: GET /api/sprints 304 - - 55.040 ms
2026-04-30 11:47:09:479 http: OPTIONS /api/sprints/69f22716e2f53629fccf5708 204 0 - 0.574 ms
2026-04-30 11:47:09:479 http: PATCH /api/sprints/69f22716e2f53629fccf5708 200 484 - 14.404 ms
2026-04-30 11:47:09:479 http: GET /api/sprints 200 947 - 28.520 ms
2026-04-30 11:47:16:4716 http: OPTIONS /api/subtasks/all 204 0 - 0.139 ms
2026-04-30 11:47:16:4716 http: OPTIONS /api/teams/directory?search= 204 0 - 0.127 ms
2026-04-30 11:47:16:4716 http: OPTIONS /api/subtasks/all 204 0 - 0.128 ms
2026-04-30 11:47:16:4716 http: OPTIONS /api/teams/directory?search= 204 0 - 0.084 ms
2026-04-30 11:47:16:4716 http: GET /api/teams/directory?search= 304 - - 38.166 ms
2026-04-30 11:47:16:4716 http: GET /api/subtasks/all 200 5687 - 68.475 ms
2026-04-30 11:47:16:4716 http: GET /api/teams/directory?search= 304 - - 35.842 ms
2026-04-30 11:47:16:4716 http: GET /api/subtasks/all 304 - - 68.822 ms
2026-04-30 11:47:19:4719 http: OPTIONS /api/subtasks/start/69f222bab7b7b81b2fe37ea0 204 0 - 0.155 ms
2026-04-30 11:47:19:4719 http: PATCH /api/subtasks/start/69f222bab7b7b81b2fe37ea0 403 92 - 2.693 ms
2026-04-30 11:47:20:4720 http: PATCH /api/subtasks/start/69f222bab7b7b81b2fe37ea0 403 92 - 4.769 ms
2026-04-30 11:47:23:4723 http: OPTIONS /api/subtasks/start/69f1df17057806a8ed206057 204 0 - 0.078 ms
2026-04-30 11:47:23:4723 http: PATCH /api/subtasks/start/69f1df17057806a8ed206057 403 92 - 2.368 ms
2026-04-30 11:47:33:4733 http: OPTIONS /api/subtasks/start/69f1dfb7057806a8ed2060ab 204 0 - 0.127 ms
2026-04-30 11:47:34:4734 http: PATCH /api/subtasks/start/69f1dfb7057806a8ed2060ab 403 92 - 5.521 ms
2026-04-30 11:47:35:4735 http: OPTIONS /api/subtasks/start/69f1b229057806a8ed205bf8 204 0 - 0.074 ms
2026-04-30 11:47:35:4735 http: PATCH /api/subtasks/start/69f1b229057806a8ed205bf8 403 92 - 3.092 ms
2026-04-30 11:47:36:4736 http: OPTIONS /api/subtasks/submit/69f222bab7b7b81b2fe37ea0 204 0 - 0.146 ms
2026-04-30 11:47:36:4736 http: PATCH /api/subtasks/submit/69f222bab7b7b81b2fe37ea0 403 92 - 3.019 ms
2026-04-30 11:47:37:4737 http: PATCH /api/subtasks/submit/69f222bab7b7b81b2fe37ea0 403 92 - 2.317 ms
2026-04-30 11:47:38:4738 http: OPTIONS /api/subtasks/submit/69f1df17057806a8ed206057 204 0 - 0.055 ms
2026-04-30 11:47:38:4738 http: PATCH /api/subtasks/submit/69f1df17057806a8ed206057 403 92 - 2.722 ms
2026-04-30 11:47:41:4741 http: OPTIONS /api/subtasks/submit/69f222bab7b7b81b2fe37ea0 204 0 - 0.186 ms
2026-04-30 11:47:42:4742 http: PATCH /api/subtasks/submit/69f222bab7b7b81b2fe37ea0 403 92 - 3.746 ms
2026-04-30 11:47:42:4742 http: PATCH /api/subtasks/submit/69f1df17057806a8ed206057 403 92 - 6.655 ms
2026-04-30 11:47:46:4746 http: PATCH /api/subtasks/submit/69f222bab7b7b81b2fe37ea0 403 92 - 7.926 ms
2026-04-30 11:47:47:4747 http: OPTIONS /api/subtasks/submit/69f222bab7b7b81b2fe37ea0 204 0 - 0.071 ms
2026-04-30 11:47:47:4747 http: PATCH /api/subtasks/submit/69f222bab7b7b81b2fe37ea0 403 92 - 2.019 ms
2026-04-30 11:47:48:4748 http: OPTIONS /api/subtasks/submit/69f1df17057806a8ed206057 204 0 - 0.100 ms
2026-04-30 11:47:48:4748 http: PATCH /api/subtasks/submit/69f1df17057806a8ed206057 403 92 - 3.181 ms
2026-04-30 11:47:49:4749 http: OPTIONS /api/subtasks/start/69f1df17057806a8ed206057 204 0 - 0.118 ms
2026-04-30 11:47:49:4749 http: PATCH /api/subtasks/start/69f1df17057806a8ed206057 403 92 - 2.194 ms
2026-04-30 11:47:50:4750 http: OPTIONS /api/subtasks/69f1dfb7057806a8ed2060ab 204 0 - 0.066 ms
2026-04-30 11:47:50:4750 http: PUT /api/subtasks/69f1dfb7057806a8ed2060ab 403 87 - 3.331 ms
2026-04-30 11:47:57:4757 http: OPTIONS /api/teams/directory?search= 204 0 - 0.189 ms
2026-04-30 11:47:57:4757 http: OPTIONS /api/teams/directory?search= 204 0 - 0.074 ms
2026-04-30 11:47:57:4757 http: GET /api/teams/directory?search= 304 - - 16.690 ms
2026-04-30 11:47:57:4757 http: GET /api/teams/directory?search= 304 - - 12.522 ms
2026-04-30 11:47:59:4759 http: GET /api/teams/directory?search= 304 - - 29.644 ms
2026-04-30 11:47:59:4759 http: OPTIONS /api/subtasks/all 204 0 - 0.117 ms
2026-04-30 11:47:59:4759 http: OPTIONS /api/subtasks/all 204 0 - 0.101 ms
2026-04-30 11:47:59:4759 http: GET /api/teams/directory?search= 304 - - 14.211 ms
2026-04-30 11:47:59:4759 http: GET /api/subtasks/all 304 - - 41.783 ms
2026-04-30 11:47:59:4759 http: GET /api/subtasks/all 304 - - 48.326 ms
2026-04-30 11:48:19:4819 http: OPTIONS /api/subtasks/comment/69f1dfb7057806a8ed2060ab 204 0 - 0.079 ms
2026-04-30 11:48:19:4819 http: POST /api/subtasks/comment/69f1dfb7057806a8ed2060ab 200 1580 - 24.997 ms
2026-04-30 11:48:19:4819 http: OPTIONS /api/subtasks/all 204 0 - 0.095 ms
2026-04-30 11:48:19:4819 http: GET /api/subtasks/all 200 5758 - 33.505 ms
2026-04-30 11:48:52:4852 http: OPTIONS /api/teams/directory?search= 204 0 - 0.263 ms
2026-04-30 11:48:52:4852 http: OPTIONS /api/teams/directory?search= 204 0 - 0.287 ms
2026-04-30 11:48:52:4852 http: GET /api/teams/directory?search= 304 - - 15.744 ms
2026-04-30 11:48:52:4852 http: GET /api/teams/directory?search= 304 - - 12.015 ms
2026-04-30 11:48:56:4856 http: OPTIONS /api/user/profile 204 0 - 0.120 ms
2026-04-30 11:48:56:4856 http: OPTIONS /api/user/profile 204 0 - 0.132 ms
2026-04-30 11:48:56:4856 http: GET /api/user/profile 200 360 - 10.363 ms
2026-04-30 11:48:56:4856 http: GET /api/user/profile 304 - - 25.432 ms
2026-04-30 11:49:02:492 http: OPTIONS /api/subtasks/all 204 0 - 0.188 ms
2026-04-30 11:49:02:492 http: OPTIONS /api/teams/directory?search= 204 0 - 0.176 ms
2026-04-30 11:49:03:493 http: OPTIONS /api/teams/directory?search= 204 0 - 0.097 ms
2026-04-30 11:49:03:493 http: OPTIONS /api/subtasks/all 204 0 - 0.143 ms
2026-04-30 11:49:03:493 http: GET /api/subtasks/all 200 4240 - 28.705 ms
2026-04-30 11:49:03:493 http: GET /api/teams/directory?search= 200 848 - 9.945 ms
2026-04-30 11:49:03:493 http: GET /api/teams/directory?search= 304 - - 46.701 ms
2026-04-30 11:49:03:493 http: GET /api/subtasks/all 304 - - 63.683 ms
2026-04-30 11:49:03:493 http: GET /api/teams/directory?search= 304 - - 14.311 ms
2026-04-30 11:49:03:493 http: GET /api/teams/directory?search= 304 - - 16.328 ms
2026-04-30 11:49:09:499 http: OPTIONS /api/user/profile 204 0 - 0.225 ms
2026-04-30 11:49:09:499 http: OPTIONS /api/user/profile 204 0 - 0.390 ms
2026-04-30 11:49:10:4910 http: GET /api/user/profile 304 - - 21.411 ms
